№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
162;2025-10-12;158;15;10:25:00;23:30:39;13.0944;47139;Отключение МТЗ (перегруз);122102;2099;361;пасмурно;4;3.5;нет;ул. Валиханова;аварийный;ГорЭлектроСеть
163;2025-06-19;152;156;13:21:00;19:44:18;6.3884;22998;Наезд авто на опору;27797;1228;270;облачно;25;4.8;нет;мкр. Орбита;плановый;ЖКХ
164;2025-05-06;15;8;15:44:00;14:38:32;14.6591;52772;Повреждение изолятора;51582;2359;192;снегопад;16;4.7;снег;ул. Абая;текущий;ГорЭлектроСеть
165;2025-04-26;101;32;18:03:00;20:30:07;20.5186;73867;Авария на подстанции;27583;570;76;пасмурно;12;5.7;нет;Центральный р-н;аварийный;ЖКХ
166;2025-10-04;9;15;06:18:00;21:28:14;15.1707;54614;Грозовое перенапряжение;115442;2139;323;ясно;10;1.0;нет;ул. Сатпаева;плановый;Частный
167;2025-09-19;110;9;08:45:00;17:18:40;8.5613;30820;Повреждение кабельной линии;23769;1503;99;облачно;11;4.1;нет;Северный мкр;плановый;РЭС
168;2025-09-04;3;156;06:51:00;20:16:16;13.4212;48316;Наезд авто на опору;61796;504;254;ясно;14;1.7;нет;ул. Валиханова;капитальный;ЖКХ
169;2025-02-06;5;8;07:04:00;11:28:41;4.4116;15881;Повреждение трансформатора;10331;1479;89;облачно;-15;3.1;нет;ул. Валиханова;плановый;ЖКХ
170;2025-10-29;9;132;12:09:00;16:37:05;16.6349;59885;Отключение МТЗ;102297;390;337;ясно;6;0.8;нет;Южный мкр;капитальный;ЖКХ
171;2025-01-25;9;9;10:20:00;14:02:02;14.0507;50582;Грозовое перенапряжение;49861;2167;213;гроза;-25;11.9;дождь;ул. Сатпаева;аварийный;РЭС
172;2025-11-15;9;8;17:11:00;11:01:07;11.0355;39727;Отключение МТЗ (КЗ);21752;2080;85;гроза;-1;7.3;дождь;мкр. Запад;капитальный;РЭС
173;2025-08-05;101;178;11:55:00;12:58:22;1.0561;3802;Повреждение изолятора;8692;2341;333;облачно;18;3.4;нет;ул. Толе би;аварийный;ГорЭлектроСеть
174;2025-11-03;11;15;12:06:00;13:02:12;13.0534;46992;Обрыв провода;27432;2058;96;ясно;-1;1.3;нет;ул. Жырау;капитальный;ЖКХ
175;2025-12-17;17;156;15:48:00;20:44:49;4.9471;17809;Повреждение опоры;10098;484;149;пасмурно;-12;4.3;нет;ул. Абая;плановый;Частный
176;2025-06-23;3;156;22:19:00;05:49:04;5.8345;21004;РПВ успешно;19692;1162;127;дождь;23;5.4;дождь;ул. Лермонтова;плановый;ГорЭлектроСеть
177;2025-04-24;9;1;15:39:00;20:10:48;4.5302;16308;Повреждение опоры;30593;913;372;гроза;13;7.4;дождь;ул. Жансугурова;текущий;ЖКХ
178;2025-09-08;17;178;10:17:00;14:40:19;4.3888;15799;Отключение МТЗ (КЗ);36790;2008;362;дождь;25;4.7;дождь;мкр. Восток;плановый;ГорЭлектроСеть
179;2025-05-12;9;32;19:06:00;21:35:29;2.4915;8969;Наезд авто на опору;3478;224;64;туман;17;0.8;нет;ул. Валиханова;плановый;РЭС
180;2025-04-05;13;178;04:32:00;21:04:37;16.5438;59557;Падение дерева;64839;518;232;снег;8;2.2;снег;Северный мкр;плановый;ЖКХ
181;2025-08-24;15;2;06:58:00;09:48:12;2.8367;10212;Отключение МТЗ;707;236;5;снегопад;20;9.8;снег;Северный мкр;плановый;Частный
182;2025-03-23;2;1;04:47:00;18:21:56;13.5824;48896;Повреждение опоры;68811;834;340;снег;-6;5.3;снег;ул. Жырау;плановый;РЭС
183;2025-11-01;7;199;04:08:00;22:20:13;22.3538;80473;Наезд авто на опору;29292;2037;15;ясно;2;0.7;нет;ул. Жырау;аварийный;РЭС
184;2025-10-30;158;45;17:40:00;16:16:49;16.2972;58669;Повреждение трансформатора;9552;714;14;ясно;5;2.6;нет;Южный мкр;плановый;Частный
185;2025-11-22;15;178;23:53:00;16:15:22;16.2729;58582;Повреждение кабеля;126258;2281;296;дождь;1;7.6;дождь;промзона;плановый;ЖКХ
186;2025-01-14;102;32;11:07:00;22:28:21;11.3561;40881;Повреждение трансформатора;55865;445;239;снег;-20;2.6;снег;Северный мкр;плановый;Частный
187;2025-06-23;9;156;17:47:00;11:52:01;11.8837;42781;Повреждение опоры;71822;2193;412;снег;21;5.8;снег;промзона;текущий;РЭС
188;2025-10-11;15;89;07:37:00;15:45:41;8.1448;29321;Наезд авто на опору;25813;1734;175;ясно;8;1.8;нет;Центральный р-н;капитальный;РЭС
189;2025-02-23;110;8;01:47:00;22:23:34;20.6097;74194;Грозовое перенапряжение;70851;2448;105;ясно;-9;0.6;нет;ТЭЦ-2;капитальный;Частный
190;2025-12-05;11;67;07:52:00;20:16:27;12.4075;44667;Повреждение трансформатора;53412;1066;181;снегопад;-19;10.3;снег;ул. Жансугурова;текущий;ЖКХ
191;2025-12-01;102;9;18:16:00;19:08:44;0.8789;3164;Повреждение изолятора;2880;481;145;ясно;-9;3.0;нет;ул. Жырау;текущий;РЭС
192;2025-11-12;152;199;19:00:00;09:20:20;9.3558;33680;Повреждение изолятора;35999;1832;142;снег;-3;5.9;снег;ул. Лермонтова;капитальный;ЖКХ
193;2025-06-18;15;15;17:51:00;17:29:35;17.5099;63035;Повреждение трансформатора;90590;1478;209;облачно;18;4.9;нет;ул. Абая;текущий;РЭС
194;2025-12-27;2;8;12:50:00;23:21:08;23.3689;84128;Отключение МТЗ (КЗ);66129;839;173;снегопад;-9;8.2;снег;ул. Пушкина;аварийный;РЭС
195;2025-04-25;15;25;23:08:00;16:44:18;16.7551;60318;Повреждение изолятора;64463;135;292;гроза;8;13.1;дождь;мкр. Орбита;текущий;Частный
196;2025-07-28;9;15;18:24:00;16:03:44;16.079;57884;Наезд авто на опору;90940;2252;342;гроза;22;13.6;дождь;мкр. Восток;капитальный;ГорЭлектроСеть
197;2025-10-22;9;8;23:15:00;09:46:14;9.7874;35234;Наезд авто на опору;9504;629;57;дождь;14;7.3;дождь;ул. Валиханова;аварийный;ЖКХ
198;2025-08-13;15;132;14:07:00;20:52:32;20.8922;75212;Повреждение опоры;65552;1480;115;дождь;22;5.1;дождь;ул. Лермонтова;аварийный;РЭС
199;2025-03-21;2;67;07:00:00;20:32:47;20.5633;74027;Повреждение трансформатора;164302;1249;387;облачно;-3;3.0;нет;ул. Лермонтова;аварийный;ГорЭлектроСеть
200;2025-04-25;2;8;13:21:00;23:49:10;10.4695;37690;Повреждение опоры;34997;865;163;пасмурно;2;5.3;нет;ТЭЦ-2;текущий;ЖКХ
201;2025-01-14;3;178;01:55:00;14:16:18;12.3551;44478;Плановый ремонт;103750;75;449;облачно;-18;1.1;нет;мкр. Жастар;плановый;ЖКХ
202;2025-07-30;17;15;22:08:00;21:16:34;21.2928;76654;Грозовое перенапряжение;71773;1455;175;туман;25;1.3;нет;ул. Валиханова;плановый;ГорЭлектроСеть
203;2025-11-24;152;89;12:01:00;21:28:09;21.4861;77349;Грозовое перенапряжение;33767;1207;70;ясно;3;1.5;нет;Северный мкр;капитальный;ГорЭлектроСеть
204;2025-06-06;158;8;09:43:00;20:54:46;11.1962;40306;Отключение МТЗ (КЗ);61118;145;436;туман;29;1.0;нет;ул. Пушкина;аварийный;ЖКХ
205;2025-12-09;158;178;08:11:00;16:32:05;8.3515;30065;Отключение МТЗ (КЗ);59356;2334;329;гроза;-10;10.9;дождь;мкр. Запад;текущий;РЭС
206;2025-08-13;3;156;21:36:00;11:45:20;11.7725;42380;Повреждение изолятора;62636;48;311;облачно;24;2.4;нет;ТЭЦ-2;аварийный;РЭС
207;2025-04-10;105;15;05:46:00;23:19:34;17.5596;63214;Повреждение кабельной линии;152968;1607;392;туман;10;1.0;нет;мкр. Запад;плановый;Частный
208;2025-12-28;105;2;13:50:00;14:57:07;14.9687;53887;Повреждение опоры;109427;1541;310;гроза;-11;10.9;дождь;ул. Валиханова;текущий;РЭС
209;2025-03-09;2;178;05:27:00;07:11:52;1.748;6292;Отключение МТЗ;2462;1223;47;пасмурно;-10;5.1;нет;ул. Гагарина;плановый;ГорЭлектроСеть
210;2025-11-10;158;25;09:11:00;17:59:17;18.0048;64817;Повреждение изолятора;109043;2041;305;дождь;-5;3.4;дождь;Южный мкр;капитальный;ГорЭлектроСеть
211;2025-07-23;101;67;04:37:00;22:37:49;22.6472;81529;Плановый ремонт;200607;1367;351;пасмурно;21;4.7;нет;Южный мкр;текущий;Частный
212;2025-08-14;11;67;09:03:00;22:04:14;13.0206;46874;Отключение МТЗ (перегруз);59932;1932;283;снегопад;33;11.7;снег;ул. Абая;капитальный;РЭС
213;2025-08-22;101;45;03:01:00;04:46:40;1.7614;6340;Отключение МТЗ (перегруз);13971;1191;412;снегопад;18;5.8;снег;ул. Валиханова;капитальный;Частный
214;2025-12-21;105;8;19:23:00;21:16:58;21.2995;76678;Повреждение опоры;168968;1170;428;туман;-14;0.7;нет;Северный мкр;аварийный;ЖКХ
215;2025-04-25;7;89;06:02:00;22:26:04;16.4014;59044;Обрыв провода;31339;354;81;снегопад;7;4.5;снег;ул. Сатпаева;аварийный;ГорЭлектроСеть
216;2025-10-05;7;8;03:41:00;21:22:11;21.3865;76991;Авария на подстанции;216075;1804;448;туман;14;1.6;нет;ул. Жырау;капитальный;Частный
217;2025-01-14;17;15;07:11:00;11:16:30;4.0918;14730;Обрыв провода;30644;860;441;облачно;-19;4.0;нет;ТЭЦ-2;аварийный;РЭС
218;2025-11-12;7;178;11:11:00;17:46:55;17.7987;64075;Наезд авто на опору;56787;2415;142;дождь;4;5.7;дождь;ул. Пушкина;капитальный;ГорЭлектроСеть
219;2025-01-26;101;67;18:34:00;22:57:18;22.9718;82698;Плановый ремонт;138832;260;306;ясно;-8;3.0;нет;ул. Жырау;капитальный;Частный
220;2025-09-19;9;156;00:54:00;13:49:29;12.925;46529;Грозовое перенапряжение;31559;2451;27;гроза;17;7.9;дождь;ул. Пушкина;плановый;РЭС
221;2025-02-01;2;67;09:41:00;11:16:17;1.5882;5717;Плановый ремонт;6571;1374;190;облачно;-16;3.9;нет;Южный мкр;аварийный;ГорЭлектроСеть
222;2025-12-27;5;178;13:11:00;14:16:28;14.2914;51448;Повреждение трансформатора;44368;375;158;снегопад;-17;10.2;снег;ул. Гагарина;текущий;Частный
223;2025-05-09;7;178;12:23:00;18:24:47;18.4297;66347;Повреждение изолятора;93918;1847;272;снегопад;15;11.2;снег;мкр. Жастар;капитальный;ЖКХ
224;2025-04-29;15;32;04:05:00;21:44:02;21.7508;78302;Повреждение изолятора;132265;1432;324;гроза;15;6.8;дождь;ул. Жансугурова;капитальный;Частный
225;2025-01-02;17;67;20:35:00;04:35:51;4.6144;16611;Авария на подстанции;46448;1681;413;ясно;-18;1.1;нет;ТЭЦ-2;плановый;ЖКХ
226;2025-02-25;110;2;19:18:00;23:35:25;4.2905;15445;РПВ успешно;24525;1636;280;пасмурно;-22;3.9;нет;ул. Пушкина;текущий;Частный
227;2025-05-15;110;25;23:13:00;12:46:37;12.7937;46057;Повреждение опоры;40017;413;174;пасмурно;11;5.2;нет;ул. Гагарина;текущий;ЖКХ
228;2025-05-08;5;9;22:55:00;09:14:12;9.2536;33312;РПВ успешно;2266;361;5;пасмурно;24;3.1;нет;мкр. Запад;текущий;ЖКХ
229;2025-11-19;105;156;12:10:00;22:11:28;10.0245;36088;Плановый ремонт;51494;311;366;облачно;0;1.9;нет;ул. Лермонтова;капитальный;РЭС
230;2025-08-10;152;9;23:24:00;00:54:20;0.9225;3320;Падение дерева;4520;402;376;пасмурно;23;4.5;нет;ТЭЦ-2;аварийный;ЖКХ
231;2025-04-15;152;45;03:16:00;12:40:33;9.4094;33873;Наезд авто на опору;40114;1108;225;ясно;10;1.2;нет;ул. Жансугурова;аварийный;РЭС
232;2025-02-08;105;199;15:16:00;09:47:08;9.8022;35288;Повреждение опоры;57065;105;352;ясно;-19;2.2;нет;ул. Жырау;текущий;РЭС
233;2025-03-24;5;2;21:13:00;17:56:50;17.9639;64670;Повреждение кабеля;25565;2018;7;туман;-4;1.1;нет;ул. Пушкина;текущий;ЖКХ
234;2025-03-06;158;25;06:11:00;15:50:41;9.6617;34781;Повреждение кабеля;42382;835;179;ясно;-6;0.1;нет;ул. Жансугурова;плановый;ГорЭлектроСеть
235;2025-02-16;9;199;05:33:00;19:40:16;19.688;70876;Повреждение изолятора;17132;888;23;облачно;-15;4.5;нет;ул. Жырау;плановый;ГорЭлектроСеть
236;2025-09-27;110;178;09:35:00;23:01:34;13.4429;48394;Падение дерева;96224;265;388;туман;18;0.1;нет;ул. Абая;текущий;РЭС
237;2025-07-26;110;132;10:43:00;16:14:24;5.5234;19884;Авария на подстанции;50455;1631;407;пасмурно;22;4.6;нет;мкр. Восток;аварийный;Частный
238;2025-02-07;11;89;05:08:00;13:31:04;8.3847;30184;Авария на подстанции;45017;549;235;снегопад;-5;6.6;снег;Южный мкр;аварийный;ГорЭлектроСеть
239;2025-11-11;3;132;23:54:00;20:23:48;20.4136;73488;Грозовое перенапряжение;76591;2122;167;пасмурно;-5;2.6;нет;ул. Пушкина;текущий;ГорЭлектроСеть
